2025-09-25 16:09:06 | INFO | Logging to file: logs/project_log.log
2025-09-25 16:09:06 | INFO | Log sanitization enabled, personal info removed
2025-09-25 16:09:28 | INFO | Logging to file: logs/project_log.log
2025-09-25 16:09:28 | INFO | Log sanitization enabled, personal info removed
2025-09-25 16:20:26 | INFO | Logging to file: logs/project_log.log
2025-09-25 16:20:26 | INFO | Log sanitization enabled, personal info removed
2025-09-25 16:20:26 | INFO | Starting Producer to run continuously.
2025-09-25 16:20:26 | INFO | Use Ctrl+C to stop.
2025-09-25 16:20:26 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-25 16:20:26 | INFO | BUZZ_TOPIC: buzzline
2025-09-25 16:20:26 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-25 16:20:26 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/datastream-01/buzzline-05-hanson/data
2025-09-25 16:20:26 | INFO | LIVE_DATA_PATH: C:/Users/USER/Documents/datastream-01/buzzline-05-hanson/data/project_live.json
2025-09-25 16:20:26 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/datastream-01/buzzline-05-hanson/data
2025-09-25 16:20:26 | INFO | SQLITE_PATH: C:/Users/USER/Documents/datastream-01/buzzline-05-hanson/data/buzz.sqlite
2025-09-25 16:20:26 | INFO | Kafka broker address: localhost:9092
2025-09-25 16:20:27 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'HgK16oaASYSw0OdYOPF66A', 'controller_id': 1}
2025-09-25 16:20:29 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-25 16:20:29 | INFO | {'message': 'I just saw a meme! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-25 16:20:29', 'category': 'humor', 'sentiment': 0.82, 'keyword_mentioned': 'meme', 'message_length': 32}
2025-09-25 16:20:34 | INFO | {'message': 'I just found travel! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-25 16:20:34', 'category': 'travel', 'sentiment': 0.52, 'keyword_mentioned': 'travel', 'message_length': 34}
